id,labels
0,"0,1"
1,"17,168"
2,"0,1"
3,"0,1"
4,"28,271,456"
5,"265,271,349"
6,"0,131,241"
7,"0,1"
8,"24,49,271"
9,"21,108,187"
10,"131,241,265"
11,"0,1"
12,"40,160"
13,"271,355,456"
14,"0,1"
15,"21,28,172"
16,"0,1"
17,"0,1"
18,"0,1"
19,"10,220"
20,"0,1"
21,"0,1"
22,"13,15,16"
23,"53,265,340"
24,"0,1"
25,"0,1"
26,"0,1"
27,"0,1"
28,"3,200,337"
29,"21,182"
30,"0,1"
31,"0,1"
32,"0,1"
33,"0,1"
34,"10,220,242"
35,"265,340"
36,"0,1"
37,"13,296,300"
38,"0,1"
39,"0,1"
40,"271,444"
41,"200,265,337"
42,"0,1"
43,"0,1"
44,"0,1"
45,"0,1"
46,"17,168"
47,"11,419"
48,"0,1"
49,"11,296,417"
50,"0,1"
51,"0,1"
52,"10,64,220"
53,"11,265,340"
54,"21,182,301"
55,"0,1"
56,"220,221,271"
57,"21,182,277"
58,"0,1"
59,"145,194"
60,"0,1"
61,"10,64,199"
62,"277,288,458"
63,"0,1"
64,"0,1"
65,"265,340"
66,"0,1"
67,"0,1"
68,"21,187"
69,"277,278"
70,"0,1"
71,"0,1"
72,"337,339"
73,"53,430"
74,"10,23,24"
75,"265,271,340"
76,"131,241"
77,"271,355,456"
78,"13,160,204"
79,"10,24,25"
80,"0,1"
81,"0,1"
82,"0,1"
83,"0,1"
84,"0,1"
85,"0,1"
86,"0,1"
87,"21,182"
88,"26,40,89"
89,"0,1"
90,"0,271,313"
91,"24,25,220"
92,"0,216,271"
93,"0,1"
94,"0,1"
95,"0,296,313"
96,"24,49"
97,"145,194,199"
98,"64,145,402"
99,"23,251,337"
100,"0,313"
101,"0,1"
102,"0,1"
103,"13,21,108"
104,"44,145"
105,"0,271,313"
106,"0,1"
107,"0,1"
108,"1,2,277"
109,"277,288,458"
110,"0,1"
111,"40,128,129"
112,"0,1"
113,"21,131,187"
114,"10,24,25"
115,"0,1"
116,"0,13,204"
117,"0,1"
118,"0,1"
119,"21,131,187"
120,"0,1"
121,"265,340"
122,"21,131,187"
123,"0,1"
124,"0,1"
125,"169,311"
126,"271,444"
127,"0,1"
128,"0,21,172"
129,"64,265,340"
130,"21,131,187"
131,"0,1"
132,"0,1"
133,"28,364"
134,"169,311"
135,"21,131,187"
136,"0,313"
137,"0,313"
138,"0,265,313"
139,"28,207"
140,"145,194,199"
141,"312,426"
142,"0,255"
143,"0,1"
144,"0,1"
145,"0,1"
146,"11,21,182"
147,"0,1"
148,"0,10,11"
149,"40,160,196"
150,"271,313,397"
151,"0,1"
152,"21,182"
153,"265,271,355"
154,"17,145,168"
155,"40,128,129"
156,"11,31,328"
157,"64,145,402"
158,"21,172"
159,"271,455"
160,"0,1"
161,"0,1"
162,"21,182"
163,"0,1"
164,"265,288,425"
165,"31,328"
166,"0,1"
167,"0,1"
168,"0,313"
169,"0,1"
170,"0,1"
171,"0,1"
172,"0,1"
173,"271,455"
174,"0,1"
175,"28,29,277"
176,"271,455"
177,"0,1"
178,"0,1"
179,"23,26,251"
